                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2538,                 5.3221,                 1.7679,                  0.001,                    0.3,                0.00092,                0.00058,                 1.1994,                 4.9178,                  1.511,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.2722,                 5.3715,                 1.8973,                0.00133,                    0.4,                0.00138,                0.00079,                 1.3101,                 4.9197,                 1.5588,             0.00021891,             0.00021891,             0.00021891
                      3,                 1.9187,                 4.3282,                 1.4562,                  0.002,                    0.6,                0.00419,                0.00298,                 1.0868,                 4.3841,                 1.1953,             0.00033663,             0.00033663,             0.00033663
                      4,                  1.774,                 3.4903,                 1.3906,                0.00233,                    0.7,                0.03592,                0.03084,                 1.0942,                 4.2253,                 1.1089,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.7463,                 3.0704,                 1.3625,                0.00267,                    0.8,                0.21147,                0.12048,                 1.0879,                 4.2244,                 1.0892,             0.00056852,             0.00056852,             0.00056852
                      6,                 1.6038,                 2.6874,                 1.3175,                0.00457,                0.60936,                0.21657,                0.14056,                 1.0931,                 4.1518,                 1.0769,             0.00068267,             0.00068267,             0.00068267
                      7,                 1.5295,                 2.6329,                 1.2874,                  0.003,                    0.9,                0.13253,                0.08484,                 1.2219,                 4.1649,                 1.1191,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.7417,                 2.6979,                 1.4228,                0.00267,                    0.8,                0.13325,                 0.1032,                 1.2308,                 4.2192,                 1.1175,             0.00090743,             0.00090743,             0.00090743
                      9,                 1.5788,                 2.6879,                 1.3422,                 0.5205,                    0.1,                0.18203,                0.12847,                 1.1839,                 3.9462,                 1.2038,               0.001018,               0.001018,               0.001018
                     10,                 1.5791,                 2.3425,                 1.3261,                0.00267,                    0.8,                 0.0115,                0.00673,                  1.152,                 3.9779,                 1.2331,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.4923,                 2.5259,                 1.2105,                0.16668,                    0.2,                0.06327,                0.03656,                 1.4811,                 3.7705,                   1.42,              0.0012357,              0.0012357,              0.0012357
                     12,                 1.5548,                 2.0551,                 1.2819,                0.69116,                    0.2,                0.24805,                0.20995,                   1.19,                 3.4108,                 1.3215,              0.0013427,              0.0013427,              0.0013427
                     13,                 1.4663,                 2.3179,                 1.2337,                0.65714,                    0.3,                0.38165,                0.31035,                 1.1586,                  2.857,                 1.1914,              0.0014485,              0.0014485,              0.0014485
                     14,                 1.4273,                 2.1948,                 1.2527,                0.82653,                    0.5,                 0.5621,                 0.3682,                 1.2744,                 2.7927,                   1.18,              0.0015532,              0.0015532,              0.0015532
                     15,                  1.631,                 2.3009,                  1.404,                      1,                0.47728,                0.59555,                0.41141,                  1.318,                 2.3776,                 1.2521,              0.0016566,              0.0016566,              0.0016566
                     16,                   1.55,                  2.138,                 1.3922,                0.74323,                0.58105,                0.63366,                0.42154,                 1.4715,                 2.0912,                 1.4241,              0.0017589,              0.0017589,              0.0017589
                     17,                 1.5083,                 2.1081,                 1.4048,                0.54051,                    0.4,                0.46425,                0.28112,                 1.4303,                 2.4514,                 1.2787,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.6195,                 2.3063,                 1.3581,                 0.9737,                    0.6,                0.64031,                0.42838,                 1.5182,                 2.4528,                 1.4195,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.5407,                 1.9649,                 1.3149,                0.84292,                    0.6,                0.67008,                0.46959,                 1.3906,                 2.5716,                 1.3373,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.4501,                 1.9189,                 1.3433,                      1,                0.49583,                 0.6358,                 0.4526,                 1.1378,                 2.5375,                 1.2448,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.6068,                 1.9485,                 1.3925,                0.97176,                    0.5,                 0.6512,                0.41013,                 1.2384,                  2.422,                 1.2763,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.5349,                 1.9117,                 1.2553,                0.87829,                0.72372,                0.84052,                0.52862,                 1.1904,                 2.1408,                 1.2759,               0.001802,               0.001802,               0.001802
                     23,                 1.4938,                 1.9601,                 1.2802,                0.94195,                    0.8,                0.87211,                0.60239,                 1.0392,                 2.3816,                 1.1833,              0.0017921,              0.0017921,              0.0017921
                     24,                  1.487,                 1.8247,                 1.2831,                0.80277,                0.81522,                0.90274,                0.57399,                 1.0749,                 3.1007,                 1.2696,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.4912,                 1.7195,                 1.3533,                0.95736,                    0.9,                  0.945,                0.67512,                 1.1265,                 3.0445,                 1.2506,              0.0017723,              0.0017723,              0.0017723
                     26,                  1.576,                 1.7223,                 1.4098,                0.81716,                    0.9,                0.83303,                0.53844,                 1.2567,                 1.8991,                 1.3057,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.6176,                 1.7896,                   1.36,                0.66253,                    0.8,                0.78111,                0.51656,                 1.2187,                 1.9243,                 1.2415,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.5146,                 1.4976,                 1.2575,                0.96964,                    0.5,                0.63231,                0.35379,                 1.4818,                 2.1032,                 1.3991,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.5705,                  1.591,                 1.3148,                0.79203,                0.38406,                 0.4301,                0.23948,                 1.6909,                 2.6342,                 1.4844,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.5232,                 1.5959,                 1.3258,                0.83958,                    0.6,                0.59596,                0.37825,                 1.5603,                 2.1226,                 1.4539,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.5707,                 1.6128,                 1.3808,                0.76987,                    0.7,                0.69501,                0.40642,                 1.6544,                 1.8204,                 1.5243,              0.0017129,              0.0017129,              0.0017129
