                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2008,                 9.4186,                 1.8458,                0.00067,                    0.2,                0.00169,                0.00064,                 1.3971,                 5.5218,                 1.5442,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.0776,                  9.736,                 1.6994,                0.02119,                    0.1,                0.00605,                0.00084,                 1.4009,                 27.247,                 1.5306,             0.00021891,             0.00021891,             0.00021891
                      3,                  1.733,                 5.2339,                 1.4097,                0.00518,                    0.2,                0.00277,                0.00162,                  1.734,                 34.355,                 1.5292,             0.00033663,             0.00033663,             0.00033663
                      4,                  1.606,                 3.0442,                 1.3305,                 0.0739,                    0.1,                 0.1099,                0.09598,                 1.3221,                 19.653,                 1.2465,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.5397,                  2.631,                  1.307,                 0.0885,                    0.3,                0.21738,                0.17542,                 1.1212,                 12.239,                 1.0612,             0.00056852,             0.00056852,             0.00056852
                      6,                 1.5751,                 2.1703,                 1.2751,                0.12404,                    0.5,                 0.1007,                0.07263,                 1.1834,                 5.8243,                 1.0327,             0.00068267,             0.00068267,             0.00068267
                      7,                 1.6869,                 2.1299,                 1.3367,                0.10973,                    0.3,                0.04562,                0.02509,                 1.8615,                  7.606,                 1.4322,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.5948,                 1.9236,                 1.2851,                0.41852,                    0.2,                0.19297,                0.06918,                 2.2951,                 3.3779,                 1.8146,             0.00090743,             0.00090743,             0.00090743
                      9,                 1.7793,                 2.1871,                 1.3404,                0.13227,                    0.3,                0.19012,                0.10065,                 1.7189,                 11.218,                 1.5776,               0.001018,               0.001018,               0.001018
                     10,                 1.6228,                 1.8565,                 1.3348,                    0.5,                    0.1,                0.12687,                0.11526,                 1.5052,                 15.809,                 1.8013,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.5917,                 2.0887,                 1.2344,                0.24985,                    0.4,                0.18271,                0.07751,                 1.4539,                 8.6911,                 1.3172,              0.0012357,              0.0012357,              0.0012357
                     12,                  1.548,                 1.6326,                 1.2574,                0.05811,                    0.7,                0.05125,                0.03027,                 1.2978,                 23.475,                 1.2733,              0.0013427,              0.0013427,              0.0013427
                     13,                 1.6086,                 1.8757,                 1.3895,                0.09798,                    0.6,                0.07204,                0.04349,                 1.5321,                 13.734,                 1.4627,              0.0014485,              0.0014485,              0.0014485
                     14,                 1.5724,                  1.584,                 1.3204,                0.14665,                    0.3,                0.05741,                0.03021,                 1.9901,                 8.7666,                 3.7599,              0.0015532,              0.0015532,              0.0015532
                     15,                 1.4802,                 1.4418,                 1.2403,                0.00574,                    0.1,                 0.0037,                0.00161,                 2.2958,                 7.9569,                 4.6818,              0.0016566,              0.0016566,              0.0016566
                     16,                 1.6402,                 1.6039,                 1.3564,                0.01089,                    0.2,                0.00545,                0.00365,                 2.2174,                  97.14,                  5.156,              0.0017589,              0.0017589,              0.0017589
                     17,                  1.475,                 1.5686,                  1.309,                0.00891,                    0.4,                0.00597,                0.00318,                 2.1873,                 26.796,                 7.3917,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.3861,                 1.3283,                 1.2763,                0.29331,                    0.1,                0.05258,                0.02695,                 3.0267,                 5.6864,                 4.8157,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.4626,                 1.6213,                 1.2757,                0.00067,                    0.2,                0.00042,                0.00027,                 3.0028,                 508.24,                 5.8016,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.5305,                 1.7409,                 1.3609,                 0.0004,                    0.1,                0.00019,                  4e-05,                 4.4684,                 914.55,                 15.042,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.3982,                 1.4419,                 1.3036,                0.00561,                    0.1,                0.00197,                0.00028,                 4.2628,                 35.657,                 6.1446,              0.0018119,              0.0018119,              0.0018119
                     22,                  1.472,                 1.4463,                 1.2501,                0.00067,                    0.2,                0.00047,                0.00016,                  3.265,                 9.2089,                 3.0836,               0.001802,               0.001802,               0.001802
                     23,                 1.4117,                 1.4749,                 1.2029,                0.00033,                    0.1,                0.00023,                  7e-05,                 3.1579,                 6.2743,                 2.8075,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.4517,                 1.2389,                 1.2377,                0.00712,                    0.1,                0.00434,                 0.0019,                 3.1699,                 5.1903,                 2.3832,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.5083,                 1.3381,                 1.3695,                0.91112,                    0.1,                0.10162,                0.07072,                 2.9105,                 4.5331,                 2.7851,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.4936,                 1.2938,                 1.2701,                0.83514,                    0.2,                  0.208,                0.11425,                 2.1467,                  3.545,                 1.6659,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.4301,                 1.3503,                 1.3029,                      1,                0.29114,                0.30606,                0.22208,                 2.0192,                 4.4568,                 1.9358,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.4866,                 1.2249,                 1.2716,                0.00585,                    0.4,                0.00289,                0.00159,                 2.2123,                 340.58,                 2.0741,              0.0017426,              0.0017426,              0.0017426
